mass_planet,semi-major-axis,eccentricity,cluster-score
4.178451144080261,400.28077730124767,0.35496646999762393,0.05340469834366901
8.364501117123822,665.2873460047824,0.3820734632491182,0.154656604551612
11.08603665938589,641.1332765863851,0.15271297489047475,0.12154955754280432
8.275511331981049,398.58179537529,0.2403039251615785,0.04877939780960046
8.801306932286975,355.8483828658094,0.5396484020731314,0.10014724770615574
0.0,0.0,0.0,0.12266518857471445
0.0,0.0,0.0,0.18991936409239113
0.0,0.0,0.0,0.2522680032121016
0.0,0.0,0.0,0.14194381147390472
0.0,0.0,0.0,0.35888127085008376
